시점,주택 거래량
2013.01,39477
2013.02,48592
2013.03,62934
2013.04,77082
2013.05,89599
2013.06,119495
2013.07,55342
2013.08,53390
2013.09,55564
2013.1,89955
2013.11,85975
2013.12,99060
2014.01,73570
2014.02,86667
2014.03,90791
2014.04,90706
2014.05,76264
2014.06,76001
2014.07,85012
2014.08,85956
2014.09,93313
2014.1,114923
2014.11,95776
2014.12,102316
2015.01,90006
2015.02,85517
2015.03,116022
2015.04,121540
2015.05,108948
2015.06,107956
2015.07,114610
2015.08,93744
2015.09,88082
2015.1,103565
2015.11,101400
2015.12,94474
2016.01,75991
2016.02,66800
2016.03,85456
2016.04,87499
2016.05,91324
2016.06,97897
2016.07,99810
2016.08,104702
2016.09,98535
2016.1,116878
2016.11,111218
2016.12,98637
2017.01,74852
2017.02,74768
2017.03,93876
2017.04,93756
2017.05,107308
2017.06,120558
2017.07,130161
2017.08,146281
2017.09,122921
2017.1,98934
2017.11,116412
2017.12,114324
2018.01,134312
2018.02,113363
2018.03,135730
2018.04,101527
2018.05,103149
2018.06,104209
2018.07,108400
2018.08,102407
2018.09,110688
2018.1,124697
2018.11,98117
2018.12,84742
2019.01,91868
2019.02,78825
2019.03,90720
2019.04,89977
2019.05,82498
2019.06,82119
2019.07,104299
2019.08,107575
2019.09,102477
2019.1,116757
2019.11,123398
2019.12,147148
2020.01,137125
2020.02,152542
2020.03,123721
2020.04,83012
2020.05,102531
2020.06,158348
2020.07,173221
2020.08,106969
2020.09,113844
2020.1,113766
2020.11,137937
2020.12,172359
2021.01,113272
2021.02,107119
2021.03,105463
2021.04,111192
2021.05,109821
2021.06,105502
2021.07,102785
2021.08,98278
2021.09,89499
2021.1,85762
2021.11,78341
2021.12,69439
2022.01,64841
2022.02,62688
2022.03,62391
2022.04,74575
2022.05,63769
2022.06,60119
2022.07,42595
2022.08,51007
2022.09,37727
2022.1,39369
2022.11,38186
2022.12,52385
2023.01,39124
2023.02,63909
2023.03,59750
2023.04,58791
2023.05,70317
2023.06,71937
2023.07,66698
2023.08,68888
2023.09,63061
